_topic_,_term_,_role_,_weight_
positive,diligence,,0.5
trust,diligence,,0.5
negative,dilute,,0.5
negative,diminish,,0.5
sadness,diminish,,0.5
negative,diminished,,0.5
negative,din,,0.5
positive,dinner,,0.5
fear,dinosaur,,0.5
anticipation,diplomacy,,0.5
positive,diplomacy,,0.5
trust,diplomacy,,0.5
positive,diplomatic,,0.5
trust,diplomatic,,0.5
disgust,dire,,0.5
fear,dire,,0.5
negative,dire,,0.5
sadness,dire,,0.5
surprise,dire,,0.5
positive,director,,0.5
trust,director,,0.5
disgust,dirt,,0.5
negative,dirt,,0.5
disgust,dirty,,0.5
negative,dirty,,0.5
negative,disability,,0.5
sadness,disability,,0.5
fear,disable,,0.5
negative,disable,,0.5
sadness,disable,,0.5
fear,disabled,,0.5
negative,disabled,,0.5
sadness,disabled,,0.5
negative,disaffected,,0.5
anger,disagree,,0.5
negative,disagree,,0.5
anger,disagreeing,,0.5
negative,disagreeing,,0.5
sadness,disagreeing,,0.5
anger,disagreement,,0.5
negative,disagreement,,0.5
sadness,disagreement,,0.5
anger,disallowed,,0.5
disgust,disallowed,,0.5
fear,disallowed,,0.5
negative,disallowed,,0.5
sadness,disallowed,,0.5
fear,disappear,,0.5
anger,disappoint,,0.5
disgust,disappoint,,0.5
negative,disappoint,,0.5
sadness,disappoint,,0.5
anger,disappointed,,0.5
disgust,disappointed,,0.5
negative,disappointed,,0.5
sadness,disappointed,,0.5
negative,disappointing,,0.5
sadness,disappointing,,0.5
disgust,disappointment,,0.5
negative,disappointment,,0.5
sadness,disappointment,,0.5
negative,disapproval,,0.5
sadness,disapproval,,0.5
anger,disapprove,,0.5
disgust,disapprove,,0.5
fear,disapprove,,0.5
negative,disapprove,,0.5
sadness,disapprove,,0.5
anger,disapproved,,0.5
negative,disapproved,,0.5
sadness,disapproved,,0.5
anger,disapproving,,0.5
disgust,disapproving,,0.5
negative,disapproving,,0.5
sadness,disapproving,,0.5
anger,disaster,,0.5
disgust,disaster,,0.5
fear,disaster,,0.5
negative,disaster,,0.5
sadness,disaster,,0.5
surprise,disaster,,0.5
anger,disastrous,,0.5
fear,disastrous,,0.5
negative,disastrous,,0.5
sadness,disastrous,,0.5
negative,disbelieve,,0.5
negative,discards,,0.5
negative,discharge,,0.5
trust,disciple,,0.5
fear,discipline,,0.5
negative,discipline,,0.5
anger,disclaim,,0.5
disgust,disclaim,,0.5
negative,disclaim,,0.5
trust,disclaim,,0.5
trust,disclosed,,0.5
disgust,discoloration,,0.5
negative,discoloration,,0.5
disgust,discolored,,0.5
negative,discolored,,0.5
sadness,discolored,,0.5
negative,discomfort,,0.5
sadness,discomfort,,0.5
negative,disconnect,,0.5
sadness,disconnect,,0.5
negative,disconnected,,0.5
sadness,disconnected,,0.5
negative,disconnection,,0.5
anger,discontent,,0.5
disgust,discontent,,0.5
fear,discontent,,0.5
negative,discontent,,0.5
sadness,discontent,,0.5
negative,discontinue,,0.5
disgust,discontinuity,,0.5
fear,discontinuity,,0.5
negative,discontinuity,,0.5
sadness,discontinuity,,0.5
anger,discord,,0.5
disgust,discord,,0.5
negative,discord,,0.5
fear,discourage,,0.5
negative,discourage,,0.5
sadness,discourage,,0.5
negative,discouragement,,0.5
positive,discovery,,0.5
negative,discredit,,0.5
anticipation,discreet,,0.5
positive,discreet,,0.5
anticipation,discretion,,0.5
positive,discretion,,0.5
trust,discretion,,0.5
positive,discretionary,,0.5
anger,discriminate,,0.5
negative,discriminate,,0.5
sadness,discriminate,,0.5
disgust,discriminating,,0.5
negative,discriminating,,0.5
anger,discrimination,,0.5
disgust,discrimination,,0.5
fear,discrimination,,0.5
negative,discrimination,,0.5
sadness,discrimination,,0.5
positive,discussion,,0.5
anger,disdain,,0.5
disgust,disdain,,0.5
negative,disdain,,0.5
anger,disease,,0.5
disgust,disease,,0.5
fear,disease,,0.5
negative,disease,,0.5
sadness,disease,,0.5
disgust,diseased,,0.5
fear,diseased,,0.5
negative,diseased,,0.5
sadness,diseased,,0.5
fear,disembodied,,0.5
negative,disembodied,,0.5
sadness,disembodied,,0.5
negative,disengagement,,0.5
anger,disfigured,,0.5
disgust,disfigured,,0.5
fear,disfigured,,0.5
negative,disfigured,,0.5
sadness,disfigured,,0.5
anger,disgrace,,0.5
disgust,disgrace,,0.5
negative,disgrace,,0.5
sadness,disgrace,,0.5
anger,disgraced,,0.5
disgust,disgraced,,0.5
negative,disgraced,,0.5
sadness,disgraced,,0.5
anger,disgraceful,,0.5
disgust,disgraceful,,0.5
negative,disgraceful,,0.5
anger,disgruntled,,0.5
disgust,disgruntled,,0.5
negative,disgruntled,,0.5
sadness,disgruntled,,0.5
anger,disgust,,0.5
disgust,disgust,,0.5
fear,disgust,,0.5
negative,disgust,,0.5
sadness,disgust,,0.5
anger,disgusting,,0.5
disgust,disgusting,,0.5
fear,disgusting,,0.5
negative,disgusting,,0.5
negative,disheartened,,0.5
sadness,disheartened,,0.5
negative,disheartening,,0.5
sadness,disheartening,,0.5
anger,dishonest,,0.5
disgust,dishonest,,0.5
negative,dishonest,,0.5
sadness,dishonest,,0.5
disgust,dishonesty,,0.5
negative,dishonesty,,0.5
anger,dishonor,,0.5
disgust,dishonor,,0.5
fear,dishonor,,0.5
negative,dishonor,,0.5
sadness,dishonor,,0.5
anger,disillusionment,,0.5
disgust,disillusionment,,0.5
negative,disillusionment,,0.5
sadness,disillusionment,,0.5
positive,disinfection,,0.5
anger,disinformation,,0.5
fear,disinformation,,0.5
negative,disinformation,,0.5
disgust,disingenuous,,0.5
negative,disingenuous,,0.5
disgust,disintegrate,,0.5
fear,disintegrate,,0.5
negative,disintegrate,,0.5
negative,disintegration,,0.5
negative,disinterested,,0.5
anger,dislike,,0.5
disgust,dislike,,0.5
negative,dislike,,0.5
anger,disliked,,0.5
negative,disliked,,0.5
sadness,disliked,,0.5
anger,dislocated,,0.5
disgust,dislocated,,0.5
fear,dislocated,,0.5
negative,dislocated,,0.5
sadness,dislocated,,0.5
disgust,dismal,,0.5
fear,dismal,,0.5
negative,dismal,,0.5
sadness,dismal,,0.5
anger,dismay,,0.5
anticipation,dismay,,0.5
fear,dismay,,0.5
negative,dismay,,0.5
sadness,dismay,,0.5
surprise,dismay,,0.5
disgust,dismemberment,,0.5
fear,dismemberment,,0.5
negative,dismemberment,,0.5
sadness,dismemberment,,0.5
anger,dismissal,,0.5
disgust,dismissal,,0.5
fear,dismissal,,0.5
negative,dismissal,,0.5
sadness,dismissal,,0.5
surprise,dismissal,,0.5
anger,disobedience,,0.5
disgust,disobedience,,0.5
negative,disobedience,,0.5
anger,disobedient,,0.5
negative,disobedient,,0.5
anger,disobey,,0.5
disgust,disobey,,0.5
negative,disobey,,0.5
fear,disorder,,0.5
negative,disorder,,0.5
negative,disorderly,,0.5
negative,disorganized,,0.5
anger,disparage,,0.5
disgust,disparage,,0.5
negative,disparage,,0.5
sadness,disparage,,0.5
anger,disparaging,,0.5
disgust,disparaging,,0.5
negative,disparaging,,0.5
sadness,disparaging,,0.5
anger,disparity,,0.5
disgust,disparity,,0.5
negative,disparity,,0.5
sadness,disparity,,0.5
negative,dispassionate,,0.5
sadness,dispassionate,,0.5
negative,dispel,,0.5
sadness,dispel,,0.5
negative,dispersion,,0.5
negative,displace,,0.5
anger,displaced,,0.5
fear,displaced,,0.5
sadness,displaced,,0.5
anger,displeased,,0.5
disgust,displeased,,0.5
fear,displeased,,0.5
negative,displeased,,0.5
sadness,displeased,,0.5
disgust,displeasure,,0.5
negative,displeasure,,0.5
negative,disposal,,0.5
disgust,dispose,,0.5
anticipation,disposed,,0.5
positive,disposed,,0.5
trust,disposed,,0.5
anger,dispossessed,,0.5
fear,dispossessed,,0.5
negative,dispossessed,,0.5
sadness,dispossessed,,0.5
anger,dispute,,0.5
negative,dispute,,0.5
negative,disqualification,,0.5
anger,disqualified,,0.5
disgust,disqualified,,0.5
negative,disqualified,,0.5
sadness,disqualified,,0.5
negative,disqualify,,0.5
sadness,disqualify,,0.5
negative,disregard,,0.5
disgust,disregarded,,0.5
negative,disregarded,,0.5
anger,disreputable,,0.5
disgust,disreputable,,0.5
fear,disreputable,,0.5
negative,disreputable,,0.5
anger,disrespect,,0.5
negative,disrespect,,0.5
anger,disrespectful,,0.5
disgust,disrespectful,,0.5
fear,disrespectful,,0.5
negative,disrespectful,,0.5
sadness,disrespectful,,0.5
anger,disruption,,0.5
fear,disruption,,0.5
negative,disruption,,0.5
surprise,disruption,,0.5
negative,dissatisfaction,,0.5
disgust,dissection,,0.5
positive,disseminate,,0.5
anger,dissension,,0.5
negative,dissension,,0.5
negative,dissenting,,0.5
anger,disservice,,0.5
disgust,disservice,,0.5
negative,disservice,,0.5
sadness,disservice,,0.5
anger,dissident,,0.5
fear,dissident,,0.5
negative,dissident,,0.5
anger,dissolution,,0.5
fear,dissolution,,0.5
negative,dissolution,,0.5
sadness,dissolution,,0.5
surprise,dissolution,,0.5
anger,dissonance,,0.5
negative,dissonance,,0.5
disgust,distaste,,0.5
negative,distaste,,0.5
disgust,distasteful,,0.5
negative,distasteful,,0.5
positive,distillation,,0.5
positive,distinction,,0.5
disgust,distorted,,0.5
negative,distorted,,0.5
negative,distortion,,0.5
negative,distract,,0.5
anger,distracted,,0.5
negative,distracted,,0.5
anger,distracting,,0.5
anticipation,distracting,,0.5
negative,distracting,,0.5
negative,distraction,,0.5
negative,distraught,,0.5
sadness,distraught,,0.5
anger,distress,,0.5
disgust,distress,,0.5
fear,distress,,0.5
negative,distress,,0.5
sadness,distress,,0.5
surprise,distress,,0.5
fear,distressed,,0.5
negative,distressed,,0.5
anger,distressing,,0.5
fear,distressing,,0.5
negative,distressing,,0.5
anger,distrust,,0.5
disgust,distrust,,0.5
fear,distrust,,0.5
negative,distrust,,0.5
anger,disturbance,,0.5
fear,disturbance,,0.5
negative,disturbance,,0.5
sadness,disturbance,,0.5
surprise,disturbance,,0.5
anger,disturbed,,0.5
negative,disturbed,,0.5
sadness,disturbed,,0.5
negative,disuse,,0.5
anger,disused,,0.5
negative,disused,,0.5
joy,ditty,,0.5
positive,ditty,,0.5
trust,divan,,0.5
negative,divergent,,0.5
surprise,divergent,,0.5
negative,diverse,,0.5
positive,diverse,,0.5
positive,diversified,,0.5
positive,diversion,,0.5
surprise,diversion,,0.5
negative,divested,,0.5
negative,divestment,,0.5
anticipation,divination,,0.5
positive,divinity,,0.5
anger,divorce,,0.5
disgust,divorce,,0.5
fear,divorce,,0.5
negative,divorce,,0.5
sadness,divorce,,0.5
surprise,divorce,,0.5
trust,divorce,,0.5
negative,dizziness,,0.5
negative,dizzy,,0.5
negative,docked,,0.5
positive,doctor,,0.5
trust,doctor,,0.5
trust,doctrine,,0.5
positive,doer,,0.5
positive,dogged,,0.5
trust,dogma,,0.5
negative,doit,,0.5
negative,doldrums,,0.5
sadness,doldrums,,0.5
negative,dole,,0.5
sadness,dole,,0.5
joy,doll,,0.5
negative,dolor,,0.5
sadness,dolor,,0.5
joy,dolphin,,0.5
positive,dolphin,,0.5
surprise,dolphin,,0.5
trust,dolphin,,0.5
fear,dominant,,0.5
negative,dominant,,0.5
anger,dominate,,0.5
fear,dominate,,0.5
negative,dominate,,0.5
positive,dominate,,0.5
anger,domination,,0.5
fear,domination,,0.5
negative,domination,,0.5
sadness,domination,,0.5
fear,dominion,,0.5
trust,dominion,,0.5
positive,don,,0.5
trust,don,,0.5
positive,donation,,0.5
disgust,donkey,,0.5
negative,donkey,,0.5
negative,doodle,,0.5
fear,doom,,0.5
negative,doom,,0.5
fear,doomed,,0.5
negative,doomed,,0.5
sadness,doomed,,0.5
anger,doomsday,,0.5
anticipation,doomsday,,0.5
disgust,doomsday,,0.5
fear,doomsday,,0.5
negative,doomsday,,0.5
sadness,doomsday,,0.5
fear,doubt,,0.5
negative,doubt,,0.5
sadness,doubt,,0.5
trust,doubt,,0.5
negative,doubtful,,0.5
negative,doubting,,0.5
positive,doubtless,,0.5
trust,doubtless,,0.5
negative,douche,,0.5
negative,dour,,0.5
anticipation,dove,,0.5
joy,dove,,0.5
positive,dove,,0.5
trust,dove,,0.5
fear,downfall,,0.5
negative,downfall,,0.5
sadness,downfall,,0.5
trust,downright,,0.5
positive,downy,,0.5
negative,drab,,0.5
sadness,drab,,0.5
anticipation,draft,,0.5
fear,dragon,,0.5
negative,drainage,,0.5
negative,drawback,,0.5
anticipation,dread,,0.5
fear,dread,,0.5
negative,dread,,0.5
anger,dreadful,,0.5
anticipation,dreadful,,0.5
disgust,dreadful,,0.5
fear,dreadful,,0.5
negative,dreadful,,0.5
sadness,dreadful,,0.5
disgust,dreadfully,,0.5
fear,dreadfully,,0.5
negative,dreadfully,,0.5
sadness,dreadfully,,0.5
surprise,dreadfully,,0.5
negative,dreary,,0.5
sadness,dreary,,0.5
negative,drinking,,0.5
disgust,drivel,,0.5
negative,drivel,,0.5
negative,drone,,0.5
disgust,drool,,0.5
negative,drooping,,0.5
negative,drought,,0.5
fear,drown,,0.5
negative,drown,,0.5
sadness,drown,,0.5
negative,drowsiness,,0.5
negative,drudgery,,0.5
sadness,drugged,,0.5
disgust,drunken,,0.5
negative,drunken,,0.5
negative,drunkenness,,0.5
fear,dubious,,0.5
negative,dubious,,0.5
trust,dubious,,0.5
anger,duel,,0.5
anticipation,duel,,0.5
fear,duel,,0.5
positive,duet,,0.5
positive,duke,,0.5
negative,dull,,0.5
sadness,dull,,0.5
negative,dumb,,0.5
negative,dummy,,0.5
anger,dumps,,0.5
negative,dumps,,0.5
sadness,dumps,,0.5
negative,dun,,0.5
disgust,dung,,0.5
fear,dungeon,,0.5
negative,dungeon,,0.5
anger,dupe,,0.5
negative,dupe,,0.5
anger,duplicity,,0.5
negative,duplicity,,0.5
positive,durability,,0.5
trust,durability,,0.5
positive,durable,,0.5
trust,durable,,0.5
anger,duress,,0.5
disgust,duress,,0.5
fear,duress,,0.5
negative,duress,,0.5
sadness,duress,,0.5
negative,dust,,0.5
anticipation,dutiful,,0.5
positive,dutiful,,0.5
trust,dutiful,,0.5
fear,dwarfed,,0.5
negative,dwarfed,,0.5
sadness,dwarfed,,0.5
anger,dying,,0.5
disgust,dying,,0.5
fear,dying,,0.5
negative,dying,,0.5
sadness,dying,,0.5
surprise,dynamic,,0.5
disgust,dysentery,,0.5
negative,dysentery,,0.5
sadness,dysentery,,0.5
anticipation,eager,,0.5
joy,eager,,0.5
positive,eager,,0.5
surprise,eager,,0.5
trust,eager,,0.5
anticipation,eagerness,,0.5
joy,eagerness,,0.5
positive,eagerness,,0.5
trust,eagerness,,0.5
trust,eagle,,0.5
positive,earl,,0.5
positive,earn,,0.5
positive,earnest,,0.5
positive,earnestly,,0.5
positive,earnestness,,0.5
anger,earthquake,,0.5
fear,earthquake,,0.5
negative,earthquake,,0.5
sadness,earthquake,,0.5
surprise,earthquake,,0.5
positive,ease,,0.5
positive,easement,,0.5
positive,easygoing,,0.5
positive,eat,,0.5
negative,eavesdropping,,0.5
trust,economy,,0.5
anticipation,ecstasy,,0.5
joy,ecstasy,,0.5
positive,ecstasy,,0.5
anticipation,ecstatic,,0.5
joy,ecstatic,,0.5
positive,ecstatic,,0.5
surprise,ecstatic,,0.5
fear,edict,,0.5
negative,edict,,0.5
anticipation,edification,,0.5
joy,edification,,0.5
positive,edification,,0.5
trust,edification,,0.5
anticipation,edition,,0.5
positive,educate,,0.5
positive,educated,,0.5
positive,educational,,0.5
trust,educational,,0.5
fear,eel,,0.5
positive,effective,,0.5
trust,effective,,0.5
negative,effeminate,,0.5
positive,efficacy,,0.5
positive,efficiency,,0.5
anticipation,efficient,,0.5
positive,efficient,,0.5
trust,efficient,,0.5
anger,effigy,,0.5
positive,effort,,0.5
disgust,egotistical,,0.5
negative,egotistical,,0.5
anger,egregious,,0.5
disgust,egregious,,0.5
negative,egregious,,0.5
anticipation,ejaculation,,0.5
joy,ejaculation,,0.5
positive,ejaculation,,0.5
surprise,ejaculation,,0.5
trust,ejaculation,,0.5
negative,eject,,0.5
negative,ejection,,0.5
positive,elaboration,,0.5
joy,elated,,0.5
positive,elated,,0.5
anger,elbow,,0.5
positive,elder,,0.5
trust,elder,,0.5
positive,elders,,0.5
trust,elders,,0.5
positive,elect,,0.5
trust,elect,,0.5
trust,electorate,,0.5
joy,electric,,0.5
positive,electric,,0.5
surprise,electric,,0.5
positive,electricity,,0.5
anticipation,elegance,,0.5
joy,elegance,,0.5
positive,elegance,,0.5
trust,elegance,,0.5
joy,elegant,,0.5
positive,elegant,,0.5
anticipation,elevation,,0.5
fear,elevation,,0.5
joy,elevation,,0.5
positive,elevation,,0.5
trust,elevation,,0.5
anger,elf,,0.5
disgust,elf,,0.5
fear,elf,,0.5
positive,eligible,,0.5
anger,elimination,,0.5
disgust,elimination,,0.5
fear,elimination,,0.5
negative,elimination,,0.5
sadness,elimination,,0.5
anticipation,elite,,0.5
joy,elite,,0.5
positive,elite,,0.5
trust,elite,,0.5
positive,eloquence,,0.5
positive,eloquent,,0.5
positive,elucidate,,0.5
trust,elucidate,,0.5
negative,elusive,,0.5
surprise,elusive,,0.5
fear,emaciated,,0.5
negative,emaciated,,0.5
sadness,emaciated,,0.5
anticipation,emancipation,,0.5
joy,emancipation,,0.5
positive,emancipation,,0.5
negative,embargo,,0.5
negative,embarrass,,0.5
sadness,embarrass,,0.5
negative,embarrassing,,0.5
fear,embarrassment,,0.5
negative,embarrassment,,0.5
sadness,embarrassment,,0.5
surprise,embarrassment,,0.5
negative,embezzlement,,0.5
fear,embolism,,0.5
negative,embolism,,0.5
sadness,embolism,,0.5
anticipation,embrace,,0.5
joy,embrace,,0.5
positive,embrace,,0.5
surprise,embrace,,0.5
trust,embrace,,0.5
negative,embroiled,,0.5
fear,emergency,,0.5
negative,emergency,,0.5
sadness,emergency,,0.5
surprise,emergency,,0.5
positive,emeritus,,0.5
positive,eminence,,0.5
trust,eminence,,0.5
positive,eminent,,0.5
positive,eminently,,0.5
positive,emir,,0.5
positive,empathy,,0.5
trust,emphasize,,0.5
trust,employ,,0.5
positive,empower,,0.5
sadness,emptiness,,0.5
positive,emulate,,0.5
positive,enable,,0.5
trust,enable,,0.5
positive,enablement,,0.5
trust,enablement,,0.5
anticipation,enchant,,0.5
joy,enchant,,0.5
positive,enchant,,0.5
surprise,enchant,,0.5
joy,enchanted,,0.5
positive,enchanted,,0.5
trust,enchanted,,0.5
anticipation,enchanting,,0.5
joy,enchanting,,0.5
positive,enchanting,,0.5
negative,enclave,,0.5
positive,encore,,0.5
joy,encourage,,0.5
positive,encourage,,0.5
trust,encourage,,0.5
positive,encouragement,,0.5
fear,encroachment,,0.5
negative,encroachment,,0.5
anger,encumbrance,,0.5
fear,encumbrance,,0.5
negative,encumbrance,,0.5
sadness,encumbrance,,0.5
positive,encyclopedia,,0.5
trust,encyclopedia,,0.5
anticipation,endanger,,0.5
fear,endanger,,0.5
negative,endanger,,0.5
fear,endangered,,0.5
negative,endangered,,0.5
anticipation,endeavor,,0.5
positive,endeavor,,0.5
disgust,endemic,,0.5
fear,endemic,,0.5
negative,endemic,,0.5
sadness,endemic,,0.5
anger,endless,,0.5
fear,endless,,0.5
joy,endless,,0.5
negative,endless,,0.5
positive,endless,,0.5
sadness,endless,,0.5
trust,endless,,0.5
fear,endocarditis,,0.5
sadness,endocarditis,,0.5
positive,endow,,0.5
trust,endow,,0.5
positive,endowed,,0.5
positive,endowment,,0.5
trust,endowment,,0.5
positive,endurance,,0.5
positive,endure,,0.5
disgust,enema,,0.5
anger,enemy,,0.5
disgust,enemy,,0.5
fear,enemy,,0.5
negative,enemy,,0.5
positive,energetic,,0.5
anger,enforce,,0.5
fear,enforce,,0.5
negative,enforce,,0.5
positive,enforce,,0.5
negative,enforcement,,0.5
anticipation,engaged,,0.5
joy,engaged,,0.5
positive,engaged,,0.5
trust,engaged,,0.5
joy,engaging,,0.5
positive,engaging,,0.5
trust,engaging,,0.5
anticipation,engulf,,0.5
positive,enhance,,0.5
fear,enigmatic,,0.5
negative,enigmatic,,0.5
anticipation,enjoy,,0.5
joy,enjoy,,0.5
positive,enjoy,,0.5
trust,enjoy,,0.5
anticipation,enjoying,,0.5
joy,enjoying,,0.5
positive,enjoying,,0.5
trust,enjoying,,0.5
joy,enlighten,,0.5
positive,enlighten,,0.5
trust,enlighten,,0.5
joy,enlightenment,,0.5
positive,enlightenment,,0.5
trust,enlightenment,,0.5
joy,enliven,,0.5
positive,enliven,,0.5
surprise,enliven,,0.5
trust,enliven,,0.5
anger,enmity,,0.5
fear,enmity,,0.5
negative,enmity,,0.5
sadness,enmity,,0.5
positive,enrich,,0.5
anticipation,enroll,,0.5
trust,enroll,,0.5
positive,ensemble,,0.5
trust,ensemble,,0.5
positive,ensign,,0.5
negative,enslave,,0.5
anger,enslaved,,0.5
disgust,enslaved,,0.5
fear,enslaved,,0.5
negative,enslaved,,0.5
sadness,enslaved,,0.5
negative,enslavement,,0.5
anger,entangled,,0.5
disgust,entangled,,0.5
fear,entangled,,0.5
negative,entangled,,0.5
sadness,entangled,,0.5
negative,entanglement,,0.5
positive,enterprising,,0.5
joy,entertain,,0.5
positive,entertain,,0.5
joy,entertained,,0.5
positive,entertained,,0.5
anticipation,entertaining,,0.5
joy,entertaining,,0.5
positive,entertaining,,0.5
anticipation,entertainment,,0.5
joy,entertainment,,0.5
positive,entertainment,,0.5
surprise,entertainment,,0.5
trust,entertainment,,0.5
anticipation,enthusiasm,,0.5
joy,enthusiasm,,0.5
positive,enthusiasm,,0.5
surprise,enthusiasm,,0.5
anticipation,enthusiast,,0.5
joy,enthusiast,,0.5
positive,enthusiast,,0.5
surprise,enthusiast,,0.5
disgust,entrails,,0.5
negative,entrails,,0.5
trust,entrust,,0.5
negative,envious,,0.5
positive,environ,,0.5
positive,ephemeris,,0.5
positive,epic,,0.5
anger,epidemic,,0.5
anticipation,epidemic,,0.5
disgust,epidemic,,0.5
fear,epidemic,,0.5
negative,epidemic,,0.5
sadness,epidemic,,0.5
surprise,epidemic,,0.5
negative,epilepsy,,0.5
trust,episcopal,,0.5
sadness,epitaph,,0.5
positive,epitome,,0.5
joy,equality,,0.5
positive,equality,,0.5
trust,equality,,0.5
positive,equally,,0.5
positive,equilibrium,,0.5
positive,equity,,0.5
anger,eradicate,,0.5
negative,eradicate,,0.5
anger,eradication,,0.5
disgust,eradication,,0.5
fear,eradication,,0.5
negative,eradication,,0.5
fear,erase,,0.5
negative,erase,,0.5
negative,erosion,,0.5
anticipation,erotic,,0.5
joy,erotic,,0.5
negative,erotic,,0.5
positive,erotic,,0.5
surprise,erotic,,0.5
trust,erotic,,0.5
negative,err,,0.5
anticipation,errand,,0.5
positive,errand,,0.5
trust,errand,,0.5
negative,errant,,0.5
negative,erratic,,0.5
surprise,erratic,,0.5
negative,erratum,,0.5
negative,erroneous,,0.5
negative,error,,0.5
sadness,error,,0.5
positive,erudite,,0.5
anger,erupt,,0.5
negative,erupt,,0.5
surprise,erupt,,0.5
anger,eruption,,0.5
fear,eruption,,0.5
negative,eruption,,0.5
surprise,eruption,,0.5
anger,escalate,,0.5
negative,escalate,,0.5
anticipation,escape,,0.5
fear,escape,,0.5
negative,escape,,0.5
positive,escape,,0.5
fear,escaped,,0.5
anger,eschew,,0.5
negative,eschew,,0.5
sadness,eschew,,0.5
trust,escort,,0.5
negative,espionage,,0.5
positive,esprit,,0.5
positive,essential,,0.5
trust,establish,,0.5
joy,established,,0.5
positive,established,,0.5
joy,esteem,,0.5
positive,esteem,,0.5
sadness,esteem,,0.5
trust,esteem,,0.5
positive,esthetic,,0.5
negative,estranged,,0.5
fear,ethereal,,0.5
positive,ethical,,0.5
positive,ethics,,0.5
fear,euthanasia,,0.5
negative,euthanasia,,0.5
sadness,euthanasia,,0.5
fear,evacuate,,0.5
negative,evacuate,,0.5
negative,evacuation,,0.5
anger,evade,,0.5
disgust,evade,,0.5
fear,evade,,0.5
negative,evade,,0.5
sadness,evanescence,,0.5
surprise,evanescence,,0.5
fear,evasion,,0.5
negative,evasion,,0.5
sadness,evasion,,0.5
anticipation,eventual,,0.5
anticipation,eventuality,,0.5
fear,eventuality,,0.5
joy,evergreen,,0.5
positive,evergreen,,0.5
trust,evergreen,,0.5
positive,everlasting,,0.5
negative,evict,,0.5
sadness,evict,,0.5
anger,eviction,,0.5
disgust,eviction,,0.5
fear,eviction,,0.5
negative,eviction,,0.5
sadness,eviction,,0.5
positive,evident,,0.5
trust,evident,,0.5
anger,evil,,0.5
disgust,evil,,0.5
fear,evil,,0.5
negative,evil,,0.5
sadness,evil,,0.5
positive,evolution,,0.5
negative,exacerbate,,0.5
anger,exacerbation,,0.5
fear,exacerbation,,0.5
negative,exacerbation,,0.5
negative,exacting,,0.5
anger,exaggerate,,0.5
negative,exaggerate,,0.5
negative,exaggerated,,0.5
anticipation,exalt,,0.5
joy,exalt,,0.5
positive,exalt,,0.5
trust,exalt,,0.5
joy,exaltation,,0.5
positive,exaltation,,0.5
trust,exaltation,,0.5
joy,exalted,,0.5
positive,exalted,,0.5
trust,exalted,,0.5
fear,examination,,0.5
negative,examination,,0.5
surprise,examination,,0.5
anger,exasperation,,0.5
disgust,exasperation,,0.5
negative,exasperation,,0.5
anticipation,excavation,,0.5
negative,excavation,,0.5
surprise,excavation,,0.5
anticipation,exceed,,0.5
joy,exceed,,0.5
positive,exceed,,0.5
anticipation,excel,,0.5
joy,excel,,0.5
positive,excel,,0.5
surprise,excel,,0.5
trust,excel,,0.5
disgust,excellence,,0.5
joy,excellence,,0.5
positive,excellence,,0.5
trust,excellence,,0.5
joy,excellent,,0.5
positive,excellent,,0.5
trust,excellent,,0.5
negative,excess,,0.5
positive,exchange,,0.5
trust,exchange,,0.5
negative,excise,,0.5
positive,excitable,,0.5
anger,excitation,,0.5
anticipation,excitation,,0.5
fear,excitation,,0.5
joy,excitation,,0.5
positive,excitation,,0.5
surprise,excitation,,0.5
anger,excite,,0.5
anticipation,excite,,0.5
fear,excite,,0.5
joy,excite,,0.5
positive,excite,,0.5
surprise,excite,,0.5
anticipation,excited,,0.5
joy,excited,,0.5
positive,excited,,0.5
surprise,excited,,0.5
trust,excited,,0.5
anticipation,excitement,,0.5
joy,excitement,,0.5
positive,excitement,,0.5
surprise,excitement,,0.5
anticipation,exciting,,0.5
joy,exciting,,0.5
positive,exciting,,0.5
surprise,exciting,,0.5
surprise,exclaim,,0.5
disgust,excluded,,0.5
negative,excluded,,0.5
sadness,excluded,,0.5
negative,excluding,,0.5
sadness,excluding,,0.5
disgust,exclusion,,0.5
fear,exclusion,,0.5
negative,exclusion,,0.5
sadness,exclusion,,0.5
disgust,excrement,,0.5
negative,excrement,,0.5
disgust,excretion,,0.5
fear,excruciating,,0.5
negative,excruciating,,0.5
negative,excuse,,0.5
anger,execution,,0.5
fear,execution,,0.5
negative,execution,,0.5
sadness,execution,,0.5
trust,execution,,0.5
anger,executioner,,0.5
fear,executioner,,0.5
negative,executioner,,0.5
sadness,executioner,,0.5
trust,executor,,0.5
positive,exemplary,,0.5
positive,exemption,,0.5
negative,exhaust,,0.5
negative,exhausted,,0.5
sadness,exhausted,,0.5
anticipation,exhaustion,,0.5
negative,exhaustion,,0.5
sadness,exhaustion,,0.5
trust,exhaustive,,0.5
joy,exhilaration,,0.5
positive,exhilaration,,0.5
surprise,exhilaration,,0.5
positive,exhort,,0.5
positive,exhortation,,0.5
anticipation,exigent,,0.5
disgust,exigent,,0.5
fear,exigent,,0.5
negative,exigent,,0.5
surprise,exigent,,0.5
anger,exile,,0.5
fear,exile,,0.5
negative,exile,,0.5
sadness,exile,,0.5
positive,existence,,0.5
fear,exorcism,,0.5
negative,exorcism,,0.5
sadness,exorcism,,0.5
positive,exotic,,0.5
negative,expatriate,,0.5
anticipation,expect,,0.5
