_topic_,_term_,_role_,_weight_
anger,annihilation,,0.5
fear,annihilation,,0.5
negative,annihilation,,0.5
sadness,annihilation,,0.5
anticipation,announcement,,0.5
anger,annoy,,0.5
disgust,annoy,,0.5
negative,annoy,,0.5
anger,annoyance,,0.5
disgust,annoyance,,0.5
negative,annoyance,,0.5
anger,annoying,,0.5
negative,annoying,,0.5
negative,annul,,0.5
negative,annulment,,0.5
sadness,annulment,,0.5
fear,anomaly,,0.5
negative,anomaly,,0.5
surprise,anomaly,,0.5
negative,anonymous,,0.5
trust,answerable,,0.5
anger,antagonism,,0.5
negative,antagonism,,0.5
anger,antagonist,,0.5
negative,antagonist,,0.5
anger,antagonistic,,0.5
disgust,antagonistic,,0.5
negative,antagonistic,,0.5
disgust,anthrax,,0.5
fear,anthrax,,0.5
negative,anthrax,,0.5
sadness,anthrax,,0.5
positive,antibiotics,,0.5
anger,antichrist,,0.5
disgust,antichrist,,0.5
fear,antichrist,,0.5
negative,antichrist,,0.5
anticipation,anticipation,,0.5
anticipation,anticipatory,,0.5
anticipation,antidote,,0.5
positive,antidote,,0.5
trust,antidote,,0.5
positive,antifungal,,0.5
trust,antifungal,,0.5
anger,antipathy,,0.5
disgust,antipathy,,0.5
negative,antipathy,,0.5
negative,antiquated,,0.5
positive,antique,,0.5
positive,antiseptic,,0.5
trust,antiseptic,,0.5
anger,antisocial,,0.5
disgust,antisocial,,0.5
fear,antisocial,,0.5
negative,antisocial,,0.5
sadness,antisocial,,0.5
anger,antithesis,,0.5
negative,antithesis,,0.5
anger,anxiety,,0.5
anticipation,anxiety,,0.5
fear,anxiety,,0.5
negative,anxiety,,0.5
sadness,anxiety,,0.5
anticipation,anxious,,0.5
fear,anxious,,0.5
negative,anxious,,0.5
fear,apache,,0.5
negative,apache,,0.5
negative,apathetic,,0.5
sadness,apathetic,,0.5
negative,apathy,,0.5
sadness,apathy,,0.5
disgust,aphid,,0.5
negative,aphid,,0.5
positive,aplomb,,0.5
positive,apologetic,,0.5
trust,apologetic,,0.5
positive,apologize,,0.5
sadness,apologize,,0.5
trust,apologize,,0.5
positive,apology,,0.5
positive,apostle,,0.5
trust,apostle,,0.5
trust,apostolic,,0.5
disgust,appalling,,0.5
fear,appalling,,0.5
negative,appalling,,0.5
fear,apparition,,0.5
surprise,apparition,,0.5
anticipation,appeal,,0.5
fear,appendicitis,,0.5
negative,appendicitis,,0.5
sadness,appendicitis,,0.5
joy,applause,,0.5
positive,applause,,0.5
surprise,applause,,0.5
trust,applause,,0.5
anticipation,applicant,,0.5
joy,appreciation,,0.5
positive,appreciation,,0.5
trust,appreciation,,0.5
fear,apprehend,,0.5
fear,apprehension,,0.5
negative,apprehension,,0.5
anticipation,apprehensive,,0.5
fear,apprehensive,,0.5
negative,apprehensive,,0.5
trust,apprentice,,0.5
anticipation,approaching,,0.5
positive,approbation,,0.5
trust,approbation,,0.5
negative,appropriation,,0.5
positive,approval,,0.5
joy,approve,,0.5
positive,approve,,0.5
trust,approve,,0.5
positive,approving,,0.5
positive,apt,,0.5
positive,aptitude,,0.5
trust,arbiter,,0.5
anticipation,arbitration,,0.5
trust,arbitrator,,0.5
anticipation,archaeology,,0.5
positive,archaeology,,0.5
negative,archaic,,0.5
trust,architecture,,0.5
anticipation,ardent,,0.5
joy,ardent,,0.5
positive,ardent,,0.5
positive,ardor,,0.5
negative,arduous,,0.5
anger,argue,,0.5
negative,argue,,0.5
anger,argument,,0.5
negative,argument,,0.5
anger,argumentation,,0.5
negative,argumentative,,0.5
anger,arguments,,0.5
negative,arid,,0.5
sadness,arid,,0.5
positive,aristocracy,,0.5
positive,aristocratic,,0.5
anger,armament,,0.5
fear,armament,,0.5
fear,armaments,,0.5
negative,armaments,,0.5
anger,armed,,0.5
fear,armed,,0.5
negative,armed,,0.5
positive,armed,,0.5
fear,armor,,0.5
positive,armor,,0.5
trust,armor,,0.5
fear,armored,,0.5
trust,armory,,0.5
positive,aroma,,0.5
anticipation,arouse,,0.5
positive,arouse,,0.5
anger,arraignment,,0.5
fear,arraignment,,0.5
negative,arraignment,,0.5
sadness,arraignment,,0.5
positive,array,,0.5
negative,arrears,,0.5
negative,arrest,,0.5
anticipation,arrival,,0.5
anticipation,arrive,,0.5
negative,arrogance,,0.5
anger,arrogant,,0.5
disgust,arrogant,,0.5
negative,arrogant,,0.5
disgust,arsenic,,0.5
fear,arsenic,,0.5
negative,arsenic,,0.5
sadness,arsenic,,0.5
anger,arson,,0.5
fear,arson,,0.5
negative,arson,,0.5
anticipation,art,,0.5
joy,art,,0.5
positive,art,,0.5
sadness,art,,0.5
surprise,art,,0.5
positive,articulate,,0.5
positive,articulation,,0.5
fear,artillery,,0.5
negative,artillery,,0.5
positive,artisan,,0.5
positive,artiste,,0.5
positive,artistic,,0.5
positive,ascendancy,,0.5
positive,ascent,,0.5
negative,ash,,0.5
disgust,ashamed,,0.5
negative,ashamed,,0.5
sadness,ashamed,,0.5
negative,ashes,,0.5
sadness,ashes,,0.5
fear,asp,,0.5
anticipation,aspiration,,0.5
joy,aspiration,,0.5
positive,aspiration,,0.5
surprise,aspiration,,0.5
trust,aspiration,,0.5
anticipation,aspire,,0.5
joy,aspire,,0.5
positive,aspire,,0.5
anticipation,aspiring,,0.5
